date,input1,input2,input3,input4,target
2008-08-24,52.0,17.0,56.0,102.0,191.0
2008-08-25,14.0,0.0,47.0,121.0,156.0
2008-08-26,17.0,27.0,39.0,157.0,34.0
2008-08-27,2.0,11.0,15.0,119.0,113.0
2008-08-28,22.0,8.0,20.0,187.0,58.0
2008-08-29,89.0,12.0,22.0,173.0,62.0
2008-08-30,64.0,7.0,34.0,171.0,220.0
2008-08-31,69.0,9.0,36.0,120.0,148.0
2008-09-01,15.0,25.0,58.0,172.0,152.0
2008-09-02,90.0,23.0,31.0,151.0,113.0
2008-09-03,34.0,9.0,43.0,183.0,248.0
2008-09-04,71.0,28.0,59.0,169.0,103.0
2008-09-05,97.0,13.0,28.0,134.0,223.0
2008-09-06,16.0,22.0,49.0,108.0,246.0
2008-09-07,39.0,1.0,54.0,137.0,86.0
2008-09-08,54.0,9.0,43.0,127.0,72.0
2008-09-09,47.0,3.0,37.0,182.0,132.0
2008-09-10,25.0,21.0,14.0,178.0,111.0
2008-09-11,95.0,6.0,28.0,160.0,89.0
2008-09-12,58.0,26.0,18.0,116.0,213.0
2008-09-13,87.0,24.0,17.0,108.0,181.0
2008-09-14,33.0,12.0,29.0,104.0,238.0
2008-09-15,65.0,3.0,49.0,192.0,112.0
2008-09-16,45.0,14.0,46.0,185.0,156.0
2008-09-17,10.0,12.0,47.0,172.0,127.0
2008-09-18,0.0,8.0,60.0,136.0,59.0
2008-09-19,26.0,26.0,51.0,173.0,22.0
2008-09-20,35.0,21.0,29.0,177.0,127.0
2008-09-21,86.0,8.0,56.0,164.0,119.0
2008-09-22,16.0,19.0,56.0,185.0,194.0
2008-09-23,65.0,7.0,30.0,184.0,83.0
2008-09-24,21.0,28.0,46.0,148.0,147.0
2008-09-25,44.0,16.0,42.0,178.0,97.0
2008-09-26,97.0,18.0,59.0,146.0,138.0
2008-09-27,16.0,8.0,16.0,141.0,249.0
2008-09-28,31.0,7.0,19.0,135.0,66.0
2008-09-29,20.0,28.0,30.0,126.0,105.0
2008-09-30,34.0,28.0,53.0,178.0,132.0
2008-10-01,28.0,13.0,41.0,199.0,164.0
2008-10-02,50.0,10.0,24.0,189.0,97.0
2008-10-03,99.0,14.0,13.0,200.0,134.0
2008-10-04,76.0,24.0,38.0,158.0,248.0
2008-10-05,0.0,4.0,18.0,189.0,227.0
2008-10-06,51.0,27.0,55.0,108.0,26.0
2008-10-07,85.0,29.0,23.0,177.0,188.0
2008-10-08,98.0,13.0,22.0,118.0,255.0
2008-10-09,70.0,3.0,20.0,126.0,223.0
2008-10-10,31.0,9.0,49.0,159.0,158.0
2008-10-11,99.0,21.0,54.0,124.0,79.0
2008-10-12,21.0,19.0,11.0,186.0,279.0
2008-10-13,5.0,27.0,16.0,113.0,112.0
2008-10-14,11.0,18.0,43.0,142.0,81.0
2008-10-15,5.0,11.0,20.0,187.0,74.0
2008-10-16,18.0,8.0,54.0,124.0,28.0
2008-10-17,53.0,28.0,17.0,133.0,69.0
2008-10-18,80.0,10.0,56.0,139.0,186.0
2008-10-19,20.0,21.0,28.0,185.0,186.0
2008-10-20,52.0,28.0,42.0,167.0,109.0
2008-10-21,3.0,17.0,23.0,164.0,202.0
2008-10-22,89.0,0.0,11.0,124.0,60.0
2008-10-23,13.0,16.0,55.0,153.0,183.0
2008-10-24,24.0,24.0,39.0,126.0,72.0
2008-10-25,35.0,12.0,50.0,107.0,128.0
2008-10-26,15.0,1.0,35.0,160.0,126.0
2008-10-27,34.0,4.0,45.0,149.0,39.0
2008-10-28,74.0,9.0,14.0,109.0,93.0
2008-10-29,5.0,10.0,55.0,105.0,188.0
