date,input1,input2,input3,input4,target
2008-08-27,41.0,29.0,28.0,183.0,265.0
2008-08-28,34.0,9.0,56.0,105.0,150.0
2008-08-29,67.0,7.0,17.0,111.0,91.0
2008-08-30,90.0,24.0,58.0,187.0,149.0
2008-08-31,35.0,13.0,45.0,147.0,259.0
2008-09-01,77.0,24.0,41.0,176.0,117.0
2008-09-02,21.0,1.0,59.0,164.0,260.0
2008-09-03,82.0,18.0,42.0,136.0,39.0
2008-09-04,66.0,28.0,45.0,147.0,211.0
2008-09-05,94.0,10.0,53.0,129.0,210.0
2008-09-06,82.0,7.0,21.0,133.0,220.0
2008-09-07,60.0,17.0,27.0,158.0,196.0
2008-09-08,87.0,3.0,57.0,184.0,147.0
2008-09-09,34.0,26.0,48.0,133.0,190.0
2008-09-10,9.0,24.0,14.0,191.0,143.0
2008-09-11,48.0,22.0,17.0,162.0,73.0
2008-09-12,47.0,22.0,29.0,133.0,161.0
2008-09-13,9.0,18.0,16.0,183.0,161.0
2008-09-14,61.0,21.0,27.0,153.0,86.0
2008-09-15,60.0,12.0,33.0,118.0,188.0
2008-09-16,74.0,11.0,53.0,155.0,168.0
2008-09-17,54.0,16.0,24.0,174.0,176.0
2008-09-18,62.0,3.0,22.0,171.0,157.0
2008-09-19,88.0,7.0,37.0,125.0,123.0
2008-09-20,80.0,20.0,15.0,185.0,180.0
2008-09-21,73.0,12.0,58.0,197.0,230.0
2008-09-22,91.0,26.0,53.0,116.0,186.0
2008-09-23,75.0,28.0,51.0,187.0,278.0
2008-09-24,95.0,16.0,45.0,164.0,225.0
2008-09-25,58.0,7.0,36.0,157.0,246.0
2008-09-26,91.0,28.0,38.0,114.0,121.0
2008-09-27,59.0,3.0,58.0,198.0,263.0
2008-09-28,73.0,29.0,53.0,176.0,129.0
2008-09-29,81.0,9.0,50.0,115.0,225.0
2008-09-30,19.0,15.0,11.0,159.0,187.0
2008-10-01,80.0,27.0,33.0,147.0,69.0
2008-10-02,70.0,29.0,46.0,177.0,226.0
2008-10-03,47.0,26.0,47.0,159.0,215.0
2008-10-04,17.0,19.0,33.0,115.0,179.0
2008-10-05,20.0,6.0,14.0,171.0,117.0
2008-10-06,71.0,27.0,54.0,146.0,51.0
2008-10-07,54.0,15.0,14.0,124.0,196.0
2008-10-08,72.0,12.0,58.0,110.0,153.0
2008-10-09,47.0,18.0,59.0,139.0,184.0
2008-10-10,30.0,22.0,32.0,184.0,160.0
2008-10-11,46.0,7.0,19.0,183.0,137.0
2008-10-12,15.0,20.0,16.0,104.0,114.0
2008-10-13,3.0,2.0,43.0,155.0,93.0
2008-10-14,85.0,26.0,34.0,130.0,11.0
2008-10-15,53.0,17.0,49.0,140.0,247.0
2008-10-16,77.0,3.0,55.0,176.0,154.0
2008-10-17,20.0,11.0,43.0,122.0,171.0
2008-10-18,61.0,19.0,31.0,184.0,71.0
2008-10-19,41.0,28.0,50.0,155.0,197.0
2008-10-20,96.0,16.0,14.0,148.0,177.0
