date,input1,input2,input3,input4,target
2008-08-27,19.0,24.0,29.0,199.0,75.0
2008-08-28,60.0,1.0,60.0,163.0,101.0
2008-08-29,65.0,11.0,43.0,113.0,108.0
2008-08-30,81.0,11.0,28.0,155.0,179.0
2008-08-31,100.0,17.0,50.0,103.0,199.0
2008-09-01,60.0,24.0,17.0,115.0,266.0
2008-09-02,90.0,4.0,51.0,103.0,198.0
2008-09-03,1.0,20.0,36.0,143.0,187.0
2008-09-04,68.0,20.0,29.0,157.0,60.0
2008-09-05,80.0,21.0,23.0,187.0,190.0
2008-09-06,11.0,1.0,11.0,157.0,210.0
2008-09-07,14.0,19.0,44.0,105.0,23.0
2008-09-08,47.0,29.0,49.0,148.0,68.0
2008-09-09,6.0,8.0,34.0,164.0,186.0
2008-09-10,63.0,0.0,59.0,189.0,32.0
2008-09-11,99.0,8.0,47.0,175.0,124.0
2008-09-12,96.0,4.0,18.0,101.0,219.0
2008-09-13,3.0,3.0,51.0,102.0,208.0
2008-09-14,42.0,28.0,28.0,153.0,15.0
2008-09-15,9.0,27.0,48.0,158.0,183.0
2008-09-16,96.0,18.0,12.0,198.0,99.0
2008-09-17,5.0,5.0,54.0,147.0,219.0
2008-09-18,74.0,13.0,49.0,112.0,23.0
2008-09-19,84.0,12.0,17.0,171.0,192.0
2008-09-20,19.0,19.0,59.0,161.0,210.0
2008-09-21,39.0,12.0,18.0,110.0,109.0
2008-09-22,16.0,9.0,16.0,119.0,126.0
2008-09-23,5.0,24.0,30.0,112.0,46.0
2008-09-24,30.0,28.0,59.0,178.0,91.0
2008-09-25,90.0,7.0,33.0,145.0,140.0
2008-09-26,2.0,29.0,28.0,170.0,200.0
2008-09-27,52.0,25.0,16.0,189.0,85.0
2008-09-28,71.0,14.0,32.0,178.0,176.0
2008-09-29,54.0,12.0,41.0,168.0,187.0
2008-09-30,66.0,1.0,36.0,142.0,154.0
2008-10-01,37.0,25.0,49.0,111.0,119.0
2008-10-02,2.0,10.0,23.0,166.0,148.0
2008-10-03,75.0,26.0,16.0,146.0,36.0
2008-10-04,90.0,23.0,59.0,125.0,239.0
2008-10-05,58.0,12.0,36.0,185.0,246.0
2008-10-06,97.0,14.0,23.0,104.0,146.0
2008-10-07,53.0,8.0,11.0,184.0,232.0
2008-10-08,35.0,7.0,11.0,108.0,137.0
2008-10-09,31.0,29.0,11.0,115.0,86.0
2008-10-10,13.0,28.0,28.0,198.0,151.0
2008-10-11,62.0,30.0,43.0,165.0,121.0
2008-10-12,85.0,13.0,59.0,118.0,207.0
2008-10-13,98.0,1.0,28.0,126.0,223.0
2008-10-14,10.0,15.0,38.0,129.0,201.0
2008-10-15,59.0,29.0,16.0,144.0,67.0
2008-10-16,92.0,17.0,47.0,113.0,225.0
